Currency_Pair,Date,Value
EURUSD,20160411,1.14056
EURUSD,20160412,1.1384
EURUSD,20160413,1.12733
EURUSD,20160414,1.12649
EURUSD,20160415,1.1281
EURUSD,20160416,1.12824
EURUSD,20160417,1.13007
EURUSD,20160418,1.1311
EURUSD,20160419,1.13581
EURUSD,20160420,1.12953
EURUSD,20160421,1.1287
EURUSD,20160422,1.12209
EURUSD,20160423,1.12153
EURUSD,20160424,1.1214
EURUSD,20160425,1.12668
EURUSD,20160426,1.12952
EURUSD,20160427,1.13198
EURUSD,20160428,1.13506
EURUSD,20160429,1.14479
EURUSD,20160430,1.14485
EURUSD,20160501,1.14568
EURUSD,20160502,1.15311
EURUSD,20160503,1.14956
EURUSD,20160504,1.14848
EURUSD,20160505,1.14037
EURUSD,20160506,1.14037
EURUSD,20160507,1.13991
EURUSD,20160508,1.1393
EURUSD,20160509,1.1382
EURUSD,20160510,1.1371
EURUSD,20160511,1.14258
EURUSD,20160512,1.1374
EURUSD,20160513,1.13097
EURUSD,20160514,1.1305
EURUSD,20160515,1.1309
EURUSD,20160516,1.13191
EURUSD,20160517,1.13118
EURUSD,20160518,1.12149
EURUSD,20160519,1.12023
EURUSD,20160520,1.12219
EURUSD,20160521,1.12191
EURUSD,20160522,1.12057
EURUSD,20160523,1.12185
EURUSD,20160524,1.11401
EURUSD,20160525,1.1155
EURUSD,20160526,1.11933
EURUSD,20160527,1.11133
EURUSD,20160528,1.11087
EURUSD,20160530,1.11367
EURUSD,20160531,1.11311
EURUSD,20160601,1.1187
EURUSD,20160602,1.11497
EURUSD,20160603,1.13662
EURUSD,20160604,1.13627
EURUSD,20160605,1.13535
EURUSD,20160606,1.13534
EURUSD,20160607,1.13548
EURUSD,20160608,1.13933
EURUSD,20160609,1.13143
EURUSD,20160610,1.12498
EURUSD,20160611,1.12484
EURUSD,20160612,1.12478
EURUSD,20160613,1.12904
EURUSD,20160614,1.12072
EURUSD,20160615,1.12588
EURUSD,20160616,1.1224
EURUSD,20160617,1.12761
EURUSD,20160618,1.1279
EURUSD,20160619,1.1329
EURUSD,20160620,1.13135
EURUSD,20160621,1.12426
EURUSD,20160622,1.12958
EURUSD,20160623,1.1384
EURUSD,20160624,1.11118
EURUSD,20160625,1.11148
EURUSD,20160626,1.10021
EURUSD,20160627,1.10238
EURUSD,20160628,1.10635
EURUSD,20160629,1.11223
EURUSD,20160630,1.11064
EURUSD,20160701,1.11365
EURUSD,20160702,1.1135
EURUSD,20160703,1.1129
EURUSD,20160704,1.11533
EURUSD,20160705,1.10746
EURUSD,20160706,1.10999
EURUSD,20160707,1.10611
EURUSD,20160708,1.10493
EURUSD,20160709,1.1049
EURUSD,20160710,1.1047
EURUSD,20160711,1.10574
EURUSD,20160712,1.10597
